,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature
0,0.0,6.0,6.0,9.0,1.6610985045339937,1.447591831329822,1.4711455197075112,1.676275270624184,60.0,7.288455009460449,0.0
1,0.0,6.0,6.0,13.0,1.4537499973085124,1.4833327702000008,1.3246582811610972,1.63808660335534,60.0,8.557009220123291,0.0
2,0.0,6.0,6.0,10.0,1.4762100727386416,1.481106067745143,1.3374478963426302,1.642126948803638,60.0,7.496047019958496,0.0
3,0.0,6.0,6.0,11.0,1.4761069315453035,1.4830216125697566,1.3821453807705104,1.6065621324048067,60.0,7.535837888717651,0.0
4,0.0,6.0,6.0,8.0,1.54620607639104,1.4670252843671876,1.3305584638713526,1.6984334146639732,60.0,5.624251842498779,0.0
5,mean,6.0,6.0,10.2,1.5226743165034982,1.4724155132423822,1.3691911083706203,1.6522968739703885,60.0,7.300320196151733,0.0
6,std,0.0,0.0,1.8077610461562668,0.03807722949480939,0.007297484336640572,0.02535822453038731,0.03320622472095485,0.0,1.0585629227430844,0.0
7,0.0,6.0,6.0,11.0,1.649234478987026,1.4454801534674482,1.4646122244545763,1.676275270624184,60.0,6.669991731643677,1.0
8,0.0,6.0,6.0,11.0,1.456262138918526,1.488247111351388,1.3194231101678493,1.63808660335534,60.0,6.739386081695557,1.0
9,0.0,6.0,6.0,10.0,1.4760918300816,1.4827455981603757,1.3405081005880481,1.642126948803638,60.0,6.590234756469727,1.0
10,0.0,6.0,6.0,11.0,1.4773438131456837,1.4865103013680752,1.3839174354249966,1.6065621324048067,60.0,6.9261980056762695,1.0
11,0.0,6.0,6.0,8.0,1.5537288047687177,1.4702937280018544,1.3302685839199844,1.6984334146639732,60.0,5.970520973205566,1.0
12,mean,6.0,6.0,10.2,1.5225322131803107,1.4746553784698284,1.3677458909110911,1.6522968739703885,60.0,6.579266309738159,1.0
13,std,0.0,0.0,1.2280065146407002,0.03985272235785689,0.007738076283955267,0.026769564980032735,0.03320622472095485,0.0,0.35883314860673005,0.0
14,0.0,6.0,6.0,8.0,1.6577222673423386,1.4479650300452824,1.4683070038842063,1.676275270624184,60.0,7.19103479385376,2.0
15,0.0,6.0,6.0,10.0,1.4542646341081655,1.485168305425651,1.323129398612748,1.63808660335534,60.0,6.560881853103638,2.0
16,0.0,6.0,6.0,8.0,1.4790961720715297,1.487509794852113,1.3460429028098246,1.642126948803638,60.0,7.248154878616333,2.0
17,0.0,6.0,6.0,8.0,1.4711271788427462,1.4812697673913091,1.3812338980087087,1.6065621324048067,60.0,9.089380025863647,2.0
18,0.0,6.0,6.0,9.0,1.5526204103463763,1.471572936675983,1.3299112214120876,1.6984334146639732,60.0,8.55976128578186,2.0
19,mean,6.0,6.0,8.6,1.5229661325422312,1.4746971668780677,1.369724884945515,1.6522968739703885,60.0,7.729842567443848,2.0
20,std,0.0,0.0,0.8318653737234168,0.04055637883945225,0.006779502968818939,0.025029352644522787,0.03320622472095485,0.0,1.0096455563410511,0.0
21,0.0,6.0,6.0,10.0,1.6539226795159094,1.4456308004969107,1.4643923702838217,1.676275270624184,60.0,16.572203159332275,3.0
22,0.0,6.0,6.0,11.0,1.4519296344085009,1.4850162995382534,1.3186777406732888,1.6380866033553396,60.0,18.889170169830322,3.0
23,0.0,6.0,6.0,16.0,1.4737427505387353,1.4784135244022467,1.3399431546975893,1.642126948803638,60.0,17.487916946411133,3.0
24,0.0,6.0,6.0,11.0,1.4763843524021616,1.4872144120359165,1.384655178642268,1.6065621324048067,60.0,7.709566831588745,3.0
25,0.0,6.0,6.0,10.0,1.5486249712049784,1.4706882509824375,1.3330700743712516,1.6984334146639732,60.0,7.927201986312866,3.0
26,mean,6.0,6.0,11.6,1.520920877614057,1.473392657491153,1.3681477037336438,1.652296873970388,60.0,13.717211818695068,3.0
27,std,0.0,0.0,2.3520204080747256,0.039365880947845704,0.007150677091792804,0.02689378865645998,0.033206224720954865,0.0,5.219032175251114,0.0
28,0.0,6.0,6.0,16.0,1.6536987016198486,1.4435317151664386,1.462666400135484,1.676275270624184,60.0,9.915902137756348,4.0
29,0.0,6.0,6.0,8.0,1.4483033645319474,1.4818327976805292,1.3157206382942552,1.63808660335534,60.0,6.150112152099609,4.0
30,0.0,6.0,6.0,9.0,1.4826654998985533,1.4857110385283347,1.349556591910981,1.642126948803638,60.0,6.8929831981658936,4.0
31,0.0,6.0,6.0,11.0,1.4710949329167642,1.4800183167024357,1.3782127497659935,1.6065621324048067,60.0,7.4924657344818115,4.0
32,0.0,6.0,6.0,8.0,1.5413022809700279,1.4686835791083348,1.3334157927946477,1.6984334146639732,60.0,7.249109745025635,4.0
33,mean,6.0,6.0,10.4,1.5194129559874283,1.4719554894372144,1.3679144345802723,1.6522968739703885,60.0,7.5401145935058596,4.0
34,std,0.0,0.0,1.375499909123952,0.03746395311365733,0.007087114026200752,0.025307248683029495,0.03320622472095485,0.0,0.5720504292612946,0.0
35,0.0,6.0,6.0,16.0,1.1971619404461302,1.0062634809460045,0.9918649492683765,1.676275270624184,60.0,11.29719591140747,5.0
36,0.0,6.0,6.0,16.0,1.0222950615301178,1.046886591273119,0.9383324012608633,1.63808660335534,60.0,10.472844123840332,5.0
37,0.0,6.0,6.0,16.0,0.9667349582863655,1.0134682338803396,0.8868424436325012,1.642126948803638,60.0,11.534427881240845,5.0
38,0.0,6.0,6.0,16.0,0.9861113192834268,1.0237045024311888,0.9530727605217847,1.6065621324048067,60.0,12.40146803855896,5.0
39,0.0,6.0,6.0,16.0,1.1201001911540052,1.0175064827419706,0.9669018289572456,1.6984334146639732,60.0,11.054671049118042,5.0
40,mean,6.0,6.0,16.0,1.0584806941400091,1.0215658582545246,0.9474028767281544,1.6522968739703885,60.0,11.35212140083313,5.0
41,std,0.0,0.0,0.0,0.06106240919889087,0.013047325581437853,0.03068721689599378,0.03320622472095485,0.0,0.7062871049719657,0.0
42,0.0,6.0,6.0,16.0,1.4372253477299075,1.2650419350938327,1.198234579910473,1.676275270624184,60.0,11.586565732955933,6.0
43,0.0,6.0,6.0,16.0,1.2717489514040066,1.2786447549933186,1.1373795154542137,1.63808660335534,60.0,10.50566816329956,6.0
44,0.0,6.0,6.0,16.0,1.2406974861929747,1.2792458032697498,1.2088430927318912,1.642126948803638,60.0,10.915389776229858,6.0
45,0.0,6.0,6.0,16.0,1.277053408947056,1.2652527007661403,1.1960932893764424,1.6065621324048067,60.0,11.484349250793457,6.0
46,0.0,6.0,6.0,16.0,1.326322207061363,1.2525374283548476,1.1958344129480318,1.6984334146639732,60.0,11.479783058166504,6.0
47,mean,6.0,6.0,16.0,1.3106094802670616,1.2681445244955778,1.1872769780842103,1.6522968739703885,60.0,11.194351196289062,6.0
48,std,0.0,0.0,0.0,0.03378021516362553,0.010994454433446639,0.027756968974486085,0.03320622472095485,0.0,0.41439943431599363,0.0
49,0.0,6.0,6.0,16.0,1.222519725626206,1.0696458453719198,1.0108358765265069,1.676275270624184,60.0,8.90760612487793,7.0
50,0.0,6.0,6.0,16.0,1.0204399506753947,1.0924920796886346,0.9649930248960022,1.6380866033553396,60.0,8.098387956619263,7.0
51,0.0,6.0,6.0,16.0,1.0957804015820052,1.1076146644906764,1.0178810574495543,1.642126948803638,60.0,8.20042109489441,7.0
52,0.0,6.0,6.0,16.0,1.085281990238535,1.0874159579371,1.0353045978617417,1.6065621324048067,60.0,9.922514915466309,7.0
53,0.0,6.0,6.0,16.0,1.1749987754974038,1.0892624610628423,1.0804300640673228,1.6984334146639732,60.0,11.837354898452759,7.0
54,mean,6.0,6.0,16.0,1.1198041687239089,1.0892862017102345,1.0218889241602256,1.652296873970388,60.0,9.393256998062133,7.0
55,std,0.0,0.0,0.0,0.05607699509243525,0.008254693475177,0.041339502109799246,0.033206224720954865,0.0,1.525295091291935,0.0
56,0.0,6.0,6.0,16.0,1.3175068545977093,1.1426663797573406,1.1152587332122712,1.676275270624184,60.0,12.015781164169312,8.0
57,0.0,6.0,6.0,16.0,1.1429715018049238,1.1702822305789544,1.0501380727558718,1.63808660335534,60.0,9.031474828720093,8.0
58,0.0,6.0,6.0,16.0,1.0856583061335907,1.1644729247120806,1.0565805286205856,1.642126948803638,60.0,8.020379066467285,8.0
59,0.0,6.0,6.0,16.0,1.1693816830057953,1.1744265831056986,1.0883949993979976,1.6065621324048067,60.0,8.011456966400146,8.0
60,0.0,6.0,6.0,16.0,1.26877402832347,1.15391962581207,1.130897759894448,1.6984334146639732,60.0,8.379776000976562,8.0
61,mean,6.0,6.0,16.0,1.196858474773098,1.1611535487932287,1.0882540187762348,1.6522968739703885,60.0,9.09177360534668,8.0
62,std,0.0,0.0,0.0,0.06761083119321003,0.007976513734093454,0.03212745294684037,0.03320622472095485,0.0,0.5281057632251317,0.0
63,0.0,6.0,6.0,16.0,1.4857743553053704,1.3173147598919241,1.32274150113426,1.676275270624184,60.0,10.049583911895752,9.0
64,0.0,6.0,6.0,16.0,1.339499731371742,1.3509478414527318,1.199532199179726,1.6380866033553396,60.0,8.059238910675049,9.0
65,0.0,6.0,6.0,16.0,1.325831383250479,1.3624144567347467,1.2366014347821899,1.642126948803638,60.0,8.426313877105713,9.0
66,0.0,6.0,6.0,16.0,1.3688510685769186,1.3609889528635482,1.3037503087738236,1.6065621324048067,60.0,7.91434121131897,9.0
