,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature
0,0.0,6.0,6.0,11.0,1.6600668538803014,1.4470434485242425,1.4707965598399233,1.676275270624184,60.0,9.500595092773438,0.0
1,0.0,6.0,6.0,12.0,1.453456814829921,1.4837604649089322,1.3218006975618368,1.6380866033553396,60.0,9.029971837997437,0.0
2,0.0,6.0,6.0,12.0,1.480351368279748,1.4873161361141016,1.3441770526038368,1.642126948803638,60.0,9.639615058898926,0.0
3,0.0,6.0,6.0,14.0,1.4826621196134566,1.4888465691430175,1.3906394074583845,1.6065621324048067,60.0,9.824559926986694,0.0
4,0.0,6.0,6.0,8.0,1.5485257123353178,1.4751835100279072,1.3300307898764072,1.6984334146639732,60.0,7.507519960403442,0.0
5,mean,6.0,6.0,11.4,1.5250125737877487,1.4764300257436402,1.3714889014680778,1.652296873970388,60.0,9.100452375411987,0.0
6,std,0.0,0.0,2.179908254950194,0.038122653555075166,0.006230026176465456,0.028844277551984467,0.033206224720954865,0.0,0.9117848555991802,0.0
7,0.0,6.0,6.0,12.0,1.661687624250128,1.449086857599755,1.4707870792193949,1.676275270624184,60.0,9.036477088928223,1.0
8,0.0,6.0,6.0,10.0,1.4562294983365511,1.4884254754337396,1.3189736827032539,1.63808660335534,60.0,7.648585319519043,1.0
9,0.0,6.0,6.0,13.0,1.4759073054463085,1.4828562228801752,1.341093144488081,1.642126948803638,60.0,9.256098985671997,1.0
10,0.0,6.0,6.0,9.0,1.4745633460420302,1.4840437719674264,1.3820163513330663,1.6065621324048067,60.0,7.012377977371216,1.0
11,0.0,6.0,6.0,10.0,1.5535338042984577,1.4697922558448553,1.3303495808877779,1.6984334146639732,60.0,7.697879076004028,1.0
12,mean,6.0,6.0,10.8,1.5243843156746952,1.4748409167451906,1.3686439677263147,1.6522968739703885,60.0,8.130283689498901,1.0
13,std,0.0,0.0,1.505988047761336,0.04048605204293371,0.007521844451909019,0.026385709849010022,0.03320622472095485,0.0,0.8324576620291376,0.0
14,0.0,6.0,6.0,12.0,1.6549267003738188,1.4472283507449928,1.468490047117318,1.676275270624184,60.0,8.66063117980957,2.0
15,0.0,6.0,6.0,9.0,1.459651032139859,1.4959324555761633,1.3143098752647235,1.63808660335534,60.0,6.568645715713501,2.0
16,0.0,6.0,6.0,9.0,1.4784438440610679,1.487278809472813,1.3462420455883046,1.642126948803638,60.0,7.7532689571380615,2.0
17,0.0,6.0,6.0,8.0,1.4721857064589505,1.4819568621260713,1.3778688364687761,1.6065621324048067,60.0,6.6509199142456055,2.0
18,0.0,6.0,6.0,9.0,1.5536514429951844,1.4734774286990038,1.3309691431917023,1.6984334146639732,60.0,7.312302112579346,2.0
19,mean,6.0,6.0,9.4,1.5237717452057762,1.477174781323809,1.367575989526165,1.6522968739703885,60.0,7.389153575897216,2.0
