,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
5,mean,6.0,6.0,13.4,1.5190063271038272,1.4716802086253495,1.3669303000240032,1.6522968739703885,60.0,10.26019024848938,0.0,chr2L
12,mean,6.0,6.0,10.2,1.5255107983205958,1.4745502188741835,1.3711444357847946,1.6522968739703885,60.0,8.246048402786254,1.0,chr2R
19,mean,6.0,6.0,9.4,1.5246035655752856,1.4764911945165218,1.368228972960016,1.6522968739703885,60.0,7.590805578231811,2.0,chr3L
26,mean,6.0,6.0,10.6,1.523746912124587,1.4747560992262436,1.3722692631512168,1.652296873970388,60.0,7.289863061904907,3.0,chr3R
33,mean,6.0,6.0,11.0,1.517666427024351,1.4693040846030183,1.365406702529833,1.6522968739703885,60.0,6.9954181671142575,4.0,chrX
40,mean,6.0,6.0,46.0,1.002863336210054,0.9622558467066231,0.8828538881984311,1.6522968739703885,60.0,19.882583618164062,5.0,Chriz
47,mean,6.0,6.0,41.8,1.2773751297872058,1.241000854465525,1.1528558099610309,1.6522968739703885,60.0,18.491272830963133,6.0,CTCF
54,mean,6.0,6.0,44.8,1.0732017293237033,1.0388506631436218,0.9772687059894016,1.6522968739703885,60.0,25.384312105178832,7.0,H3K27ac
61,mean,6.0,6.0,45.8,1.15972561430226,1.1216749903129803,1.0502971188592305,1.652296873970388,60.0,26.082597923278808,8.0,H3K27me3
68,mean,6.0,6.0,26.8,1.367484138217151,1.3276766247028804,1.25492422185491,1.652296873970388,60.0,16.945569372177125,9.0,Su(Hw)
75,mean,6.0,6.0,17.4,1.5215633461891789,1.4744593870629297,1.3679513390062181,1.652296873970388,60.0,11.31116771697998,10.0,start_coord
82,mean,6.0,6.0,81.4,0.8891301264549447,0.8605691532968812,0.8968011957555978,1.6163239635670028,160.0,21.431735277175903,-1.0,all
