,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
5,mean,6.0,6.0,10.2,1.5226743165034982,1.4724155132423822,1.3691911083706203,1.6522968739703885,60.0,7.300320196151733,0.0,chr2L
12,mean,6.0,6.0,10.2,1.5225322131803107,1.4746553784698284,1.3677458909110911,1.6522968739703885,60.0,6.579266309738159,1.0,chr2R
19,mean,6.0,6.0,8.6,1.5229661325422312,1.4746971668780677,1.369724884945515,1.6522968739703885,60.0,7.729842567443848,2.0,chr3L
26,mean,6.0,6.0,11.6,1.520920877614057,1.473392657491153,1.3681477037336438,1.652296873970388,60.0,13.717211818695068,3.0,chr3R
33,mean,6.0,6.0,10.4,1.5194129559874283,1.4719554894372144,1.3679144345802723,1.6522968739703885,60.0,7.5401145935058596,4.0,chrX
40,mean,6.0,6.0,16.0,1.0584806941400091,1.0215658582545246,0.9474028767281544,1.6522968739703885,60.0,11.35212140083313,5.0,Chriz
47,mean,6.0,6.0,16.0,1.3106094802670616,1.2681445244955778,1.1872769780842103,1.6522968739703885,60.0,11.194351196289062,6.0,CTCF
54,mean,6.0,6.0,16.0,1.1198041687239089,1.0892862017102345,1.0218889241602256,1.652296873970388,60.0,9.393256998062133,7.0,H3K27ac
61,mean,6.0,6.0,16.0,1.196858474773098,1.1611535487932287,1.0882540187762348,1.6522968739703885,60.0,9.09177360534668,8.0,H3K27me3
68,mean,6.0,6.0,16.0,1.3878305513775486,1.3453902276534335,1.2579671303383921,1.652296873970388,60.0,8.495663785934449,9.0,Su(Hw)
75,mean,6.0,6.0,14.6,1.5202068272116698,1.4738567992599718,1.3664827851011658,1.6522968739703885,60.0,7.884240245819091,10.0,start_coord
82,mean,6.0,6.0,16.0,1.0509652313247266,1.0422797039504101,1.0465853717778049,1.6201539005369578,160.0,6.90592474937439,-1.0,all
