,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
31,std,0.0,0.0,15.685449733218785,0.08153776365518199,0.039167479497159444,0.08413765529946003,0.05969151410805328,0.0,12.975749572066704,0.0,chr2L
63,std,0.0,0.0,16.54482903556552,0.0761236235881,0.04456799236525946,0.08067771163201935,0.059691514108053255,0.0,12.88726118756261,0.0,chr2L
95,std,0.0,0.0,18.38363440804161,0.07354513707513743,0.04668958025071576,0.08200436537161723,0.05969151410805327,0.0,12.88490458725704,0.0,chr2L
127,std,0.0,0.0,11.937514464762923,0.0828763978852713,0.029325914271915204,0.07741953580875408,0.05969151410805327,0.0,9.723963649052227,0.0,chr2L
159,std,0.0,0.0,12.740687932410086,0.08391602150899402,0.036522241547017394,0.09155796889258862,0.05969151410805313,0.0,10.295160792411611,0.0,chr2L
191,std,0.0,0.0,15.15552093511849,0.07296652536595208,0.03696410935832638,0.08747976766153967,0.05969151410805325,0.0,11.468644527736739,0.0,chr2L
223,std,0.0,0.0,18.174359719486194,0.07856432213074348,0.04127868238383706,0.07562522913693596,0.059691514108053255,0.0,14.200066558412264,0.0,chr2L
255,std,0.0,0.0,13.063234360372743,0.08674577537016381,0.031029680913118553,0.08570007032356881,0.05969151410805328,0.0,10.41532962619421,0.0,chr2L
287,std,0.0,0.0,12.067548495539988,0.07526393933302675,0.03503548104172281,0.0775591430731799,0.0596915141080532,0.0,11.958942515618492,0.0,chr2L
319,std,0.0,0.0,16.557266079445082,0.08182292621882849,0.03972638294257798,0.08250770815215797,0.05969151410805321,0.0,15.682138779144559,0.0,chr2L
351,std,0.0,0.0,13.254556747961425,0.08415592380689733,0.036419250531911425,0.07473590373157052,0.0596915141080532,0.0,12.866410951738954,0.0,chr2L
383,std,0.0,0.0,13.488371416661781,0.07978044542111377,0.03271514787779508,0.09034838369900551,0.05969151410805328,0.0,14.902892390738293,0.0,chr2L
415,std,0.0,0.0,16.699086820499186,0.08042072364081464,0.03465392380358222,0.08955458328416362,0.059691514108053255,0.0,15.396121393910803,0.0,chr2L
447,std,0.0,0.0,12.806068165702667,0.07679638670857965,0.03256019481336872,0.08460177883011068,0.059691514108053234,0.0,15.658630214592392,0.0,chr2L
479,std,0.0,0.0,14.91215062527044,0.08184026407985617,0.03499719281948487,0.08191262335835088,0.05969151410805321,0.0,15.21505484404354,0.0,chr2L
511,std,0.0,0.0,9.928537760867183,0.07274485107251828,0.029681807211890555,0.08687681997129758,0.059691514108053165,0.0,15.606219894883004,0.0,chr2L
543,std,0.0,0.0,19.918986495012888,0.07243173681617979,0.0443069380739667,0.0851083522864764,0.05969151410805319,0.0,17.77172658134928,0.0,chr2L
575,std,0.0,0.0,15.551766807348304,0.07721437492819884,0.039625368100758035,0.0881279330891293,0.059691514108053206,0.0,16.598209044944287,0.0,chr2L
607,std,0.0,0.0,14.952291776654233,0.07883040306870823,0.03562100613445268,0.07961800945886258,0.05969151410805321,0.0,304.032028423342,0.0,chr2L
639,std,0.0,0.0,14.574510894575225,0.08263527311030677,0.033660132420611354,0.0791672889041537,0.05969151410805328,0.0,14.836565530990834,0.0,chr2L
671,std,0.0,0.0,19.367097119344976,0.07841674962887513,0.03770680654782218,0.08745797311856841,0.05969151410805322,0.0,133.13839976885563,0.0,chr2L
703,std,0.0,0.0,16.87772281614119,0.07165962098787838,0.041682874786027446,0.07432727951426484,0.05969151410805327,0.0,179.48146763542587,0.0,chr2L
735,std,0.0,0.0,18.086353844882577,0.08042344441088312,0.041645151304865353,0.09321553954129692,0.05969151410805324,0.0,21.73430647961928,0.0,chr2L
767,std,0.0,0.0,12.294824420670729,0.07202506084925576,0.02876792444814216,0.08552534502820552,0.05969151410805324,0.0,15.443638475551712,0.0,chr2L
799,std,0.0,0.0,16.86781741565328,0.09111874760955961,0.0300904939728058,0.11370236536748328,0.0756076779800998,0.0,7.847267350460271,0.0,chr2L
