,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
6,std,0.0,0.0,2.934620929523948,0.03680905760796266,0.007218518174829526,0.022893142782678066,0.03320622472095485,0.0,1.594451868995988,0.0,chr2L
13,std,0.0,0.0,2.574490240804964,0.04092186911794485,0.006297630291108502,0.024809271344400204,0.03320622472095485,0.0,0.8473335438913115,0.0,chr2L
20,std,0.0,0.0,1.6589153082662178,0.041788476683826015,0.006852813760077194,0.02663756544870847,0.03320622472095485,0.0,0.9325598713048242,0.0,chr2L
27,std,0.0,0.0,0.9121403400793103,0.038312576950506876,0.008099340751043191,0.02641028235349417,0.033206224720954865,0.0,0.7029398074831607,0.0,chr2L
34,std,0.0,0.0,1.6431676725154984,0.036959705859370744,0.007899377970775839,0.026640535190762746,0.03320622472095485,0.0,0.6252217183403892,0.0,chr2L
41,std,0.0,0.0,11.519548602267365,0.04795147133715106,0.008514391355431462,0.024617215034980423,0.03320622472095484,0.0,3.8276270625906132,0.0,chr2L
48,std,0.0,0.0,18.228219880174805,0.047561467369080034,0.01578140266991629,0.037828218259921144,0.03320622472095485,0.0,6.640910570036556,0.0,chr2L
55,std,0.0,0.0,12.58443483037677,0.04411494887076703,0.013655728712912638,0.02055282103082039,0.03320622472095485,0.0,6.868003862295181,0.0,chr2L
62,std,0.0,0.0,17.829974761619827,0.05232281654452973,0.02162682494478602,0.012938954641900048,0.033206224720954865,0.0,8.736130376758497,0.0,chr2L
69,std,0.0,0.0,3.290592651787821,0.041777093450646646,0.012010936948866048,0.029803851489378978,0.033206224720954865,0.0,1.7890376954714717,0.0,chr2L
76,std,0.0,0.0,1.221474518768198,0.03928832056053394,0.00878108677233885,0.02583819363978942,0.033206224720954865,0.0,0.6107669004730103,0.0,chr2L
83,std,0.0,0.0,13.676695507321934,0.07320690706313834,0.015758513651133763,0.058966216531448484,0.033349273444921064,0.0,3.3507394650362885,0.0,chr2L
