,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
6,std,0.0,0.0,1.4832396974191324,0.03997324669727948,0.006534766202559108,0.01463693474097609,0.027124734016088104,0.0,2.2611434926843006,0.0,chr2L
13,std,0.0,0.0,3.492849839314596,0.040081782539432974,0.005209739358076706,0.014575045301968752,0.027124734016088267,0.0,3.2094023499076587,0.0,chr2L
20,std,0.0,0.0,0.8294576541331088,0.03800899247681896,0.008139573709097484,0.015405528819734464,0.027124734016088267,0.0,1.0259168733626371,0.0,chr2L
27,std,0.0,0.0,1.7888543819998317,0.03792903005469818,0.008731244171565733,0.019257076527208164,0.027124734016088267,0.0,3.228097338648913,0.0,chr2L
34,std,0.0,0.0,2.073644135332772,0.03953552129849704,0.005686363567331214,0.01582345244181177,0.027124734016088267,0.0,2.2973007484417116,0.0,chr2L
41,std,0.0,0.0,12.357507839366317,0.02285854817533611,0.0056659992701372855,0.014066095765227363,0.027124734016088104,0.0,13.431619012158151,0.0,chr2L
48,std,0.0,0.0,24.676466521769278,0.04057566156313315,0.023796542079837005,0.04311754419970361,0.027124734016088104,0.0,27.451834285933366,0.0,chr2L
55,std,0.0,0.0,29.23785217829791,0.049190196452035435,0.02834390802328462,0.029940459549942126,0.027124734016088267,0.0,30.699765484652335,0.0,chr2L
62,std,0.0,0.0,27.560333815104634,0.04650830804876499,0.013714321709805946,0.027776777714091316,0.027124734016088267,0.0,29.56325991607163,0.0,chr2L
69,std,0.0,0.0,4.811236847215069,0.04170857264115571,0.007357514165358684,0.015243307017246247,0.027124734016088104,0.0,4.867996013391097,0.0,chr2L
76,std,0.0,0.0,0.8438009243891595,0.03920408246526862,0.004755340451873533,0.015689684847053784,0.027124734016088104,0.0,0.8787619630438759,0.0,chr2L
83,std,0.0,0.0,1.3084341787036902,0.03963021046198725,0.006249672467416555,0.015933189227591293,0.027124734016088104,0.0,1.3039641213865436,0.0,chr2L
90,std,0.0,0.0,2.701851217221259,0.037358316801738824,0.005973414579723277,0.016463701192780466,0.027124734016088104,0.0,4.099646134812475,0.0,chr2L
97,std,0.0,0.0,2.0620378270051205,0.03809264608708524,0.00754069964392511,0.014167235438606022,0.027124734016088104,0.0,1.7907306269786716,0.0,chr2L
104,std,0.0,0.0,11.104053313993049,0.012244559222291765,0.017635804007396304,0.013767016144101429,0.029794628558260785,0.0,7.086888297157494,0.0,chr2L
