,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
30,mean,6.0,6.0,40.43333333333333,0.7817510782681505,0.7298581572495103,0.761149052028275,1.5042701560732206,60.0,79.59990145365397,0.0,chr2L
62,mean,6.0,6.0,39.3,0.7776856514882816,0.7275454688720321,0.7580253155181632,1.5042701560732203,60.0,77.07184185981751,1.0,chr2R
94,mean,6.0,6.0,39.43333333333333,0.7786700266826203,0.7258776446865323,0.7567354798751532,1.5042701560732203,60.0,76.90522640546163,2.0,chr3L
126,mean,6.0,6.0,39.1,0.7800829868880762,0.7289447470496015,0.7628854022692254,1.5042701560732203,60.0,76.97496818701426,3.0,chr3R
158,mean,6.0,6.0,40.46666666666667,0.7812309377669876,0.726319355171365,0.7557622056620578,1.5042701560732203,60.0,80.05647444725037,4.0,chrX
190,mean,6.0,6.0,40.766666666666666,0.7762348788996576,0.7237348646889384,0.7565828547146646,1.5042701560732203,60.0,81.83961449464162,5.0,is_s2
222,mean,6.0,6.0,40.733333333333334,0.7790210151301955,0.7248798328885345,0.7559668286413007,1.5042701560732203,60.0,82.72558897336324,6.0,is_kc
254,mean,6.0,6.0,38.0,0.7819719170184922,0.7293427975396074,0.7599364900453971,1.5042701560732206,60.0,77.4170836687088,7.0,is_bg
286,mean,6.0,6.0,37.733333333333334,0.7854112934287781,0.735705695934938,0.7645314476210038,1.5042701560732206,60.0,76.95044083595276,8.0,start_coord
318,mean,6.0,6.0,41.7,0.7904629243331972,0.7352888448033412,0.7686942754061165,1.5042701560732203,60.0,82.58570642471314,9.0,Chriz
350,mean,6.0,6.0,40.333333333333336,0.7763401266429459,0.724721195645856,0.7555381736617952,1.5042701560732203,60.0,77.31043891906738,10.0,CTCF
382,mean,6.0,6.0,38.166666666666664,0.7791956762874257,0.7301933948021841,0.7566840789343465,1.5042701560732203,60.0,70.7269125699997,11.0,Su(Hw)
414,mean,6.0,6.0,39.3,0.7777811728815984,0.7276768475526786,0.7578955682912067,1.5042701560732203,60.0,70.03231499989828,12.0,BEAF-32
446,mean,6.0,6.0,42.4,0.7783167633030267,0.7240605697250586,0.7523900759489945,1.5042701560732203,60.0,64.31207048098246,13.0,CP190
478,mean,6.0,6.0,38.3,0.7786407837911099,0.7301285541059421,0.7604606068535844,1.5042701560732203,60.0,275.8749329725901,14.0,GAF
510,mean,6.0,6.0,41.96666666666667,0.7799096778074909,0.7248913777355955,0.7553532497606135,1.5042701560732203,60.0,65.2417631069819,15.0,H3K4me1
542,mean,6.0,6.0,39.46666666666667,0.7797404322513796,0.7269379254249763,0.7567169357624339,1.5042701560732203,60.0,60.8801326751709,16.0,H3K4me2
574,mean,6.0,6.0,39.96666666666667,0.7813108209427538,0.7279758512573633,0.7574826781882673,1.5042701560732208,60.0,407.5424188931783,17.0,H3K4me3
606,mean,6.0,6.0,40.766666666666666,0.7776137999005103,0.7243505792264029,0.7551441300881073,1.5042701560732203,60.0,58.61545786857605,18.0,H3K9me2
638,mean,6.0,6.0,38.666666666666664,0.7764198843298901,0.7275921509276154,0.7617725489858495,1.5042701560732206,60.0,54.74388403097789,19.0,H3K9me3
670,mean,6.0,6.0,39.63333333333333,0.778585884305805,0.7264557494980841,0.7548436914366178,1.5042701560732206,60.0,65.59752173423767,20.0,H3K27ac
702,mean,6.0,6.0,40.666666666666664,0.7757736520947645,0.7239702169963416,0.755983514354849,1.5042701560732203,60.0,66.82699785232543,21.0,H3K27me1
734,mean,6.0,6.0,38.06666666666667,0.7806161933748132,0.7300927599647624,0.762685965416381,1.5042701560732203,60.0,63.721659135818484,22.0,H3K27me3
766,mean,6.0,6.0,40.3,0.7764190492888254,0.7260831701746961,0.7545387999672192,1.5042701560732203,60.0,61.60040667057037,23.0,H3K36me1
798,mean,6.0,6.0,40.5,0.7758271510196134,0.7245879518135527,0.7594755494206489,1.5042701560732206,60.0,72.14635149637859,24.0,H3K36me3
830,mean,6.0,6.0,41.7,0.7753278711299898,0.7225042526850335,0.750495416921248,1.5042701560732203,60.0,85.01953382492066,25.0,H4K16ac
862,mean,6.0,6.0,39.266666666666666,0.7791422788871234,0.7262414499114452,0.760197638356534,1.5042701560732203,60.0,95.45308883190155,26.0,RNA-polymerase-II
894,mean,6.0,6.0,52.733333333333334,0.7773755460549414,0.74213939191502,0.7825110687679773,1.5024495851243789,160.0,55.85268751780192,-1.0,all
