,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
30,mean,6.0,6.0,44.3,0.8001301868208878,0.7441227933873175,0.8259480216444292,1.5171554817511785,60.0,41.226262815793355,0.0,chr2L
62,mean,6.0,6.0,40.13333333333333,0.8081683959910286,0.7548401032136939,0.8310890039137477,1.517155481751178,60.0,38.9891344388326,1.0,chr2R
94,mean,6.0,6.0,42.4,0.8010204762952758,0.7475706546766923,0.8228321824166985,1.5171554817511783,60.0,39.50751117865244,2.0,chr3L
126,mean,6.0,6.0,38.43333333333333,0.8053060068190709,0.7542265524716358,0.828734515228042,1.5171554817511785,60.0,35.29287563165029,3.0,chr3R
158,mean,6.0,6.0,37.9,0.8145136663151985,0.7605942885267404,0.8278562338855012,1.5171554817511785,60.0,37.31327830950419,4.0,chrX
190,mean,6.0,6.0,38.0,0.8074037676397797,0.7572419211358545,0.8253044759510347,1.5171554817511783,60.0,35.60647162596385,5.0,start_coord
222,mean,6.0,6.0,42.1,0.8052637553707984,0.7505036244862073,0.8252612090948387,1.5171554817511785,60.0,41.35320658683777,6.0,Chriz
254,mean,6.0,6.0,39.8,0.8062424019638773,0.7551550365343274,0.830349995637603,1.517155481751178,60.0,44.06572882334391,7.0,CTCF
286,mean,6.0,6.0,38.766666666666666,0.813078870089096,0.7605707824260539,0.8323340088605327,1.5171554817511783,60.0,39.03373076121012,8.0,Su(Hw)
318,mean,6.0,6.0,36.96666666666667,0.8044741718865306,0.7596669151427664,0.8316122870430535,1.5171554817511783,60.0,43.52712338765462,9.0,BEAF-32
350,mean,6.0,6.0,40.233333333333334,0.8042423194246342,0.7511035055212211,0.822904129340035,1.5171554817511785,60.0,47.120494898160295,10.0,CP190
382,mean,6.0,6.0,35.43333333333333,0.8205189092396356,0.7759033253602431,0.8396237989521808,1.517155481751178,60.0,44.185656468073525,11.0,GAF
414,mean,6.0,6.0,39.666666666666664,0.8059113025902208,0.7532589034946332,0.8239894801726894,1.5171554817511783,60.0,50.171434887250264,12.0,H3K4me1
446,mean,6.0,6.0,43.833333333333336,0.8036173437107037,0.7480243703007949,0.813621231046361,1.5171554817511783,60.0,46.9198343594869,13.0,H3K4me2
478,mean,6.0,6.0,41.3,0.8004586880312521,0.7473599411280365,0.8180313277463434,1.5171554817511783,60.0,55.795615855852766,14.0,H3K4me3
510,mean,6.0,6.0,38.8,0.807395004332952,0.7568636167989837,0.8283709418237912,1.5171554817511785,60.0,51.0476709763209,15.0,H3K9me2
542,mean,6.0,6.0,43.733333333333334,0.8019514945019844,0.7436549233307304,0.8217826483660041,1.5171554817511785,60.0,53.06173246701558,16.0,H3K9me3
574,mean,6.0,6.0,42.43333333333333,0.7989539745376482,0.751695633726699,0.8161786734941171,1.5171554817511783,60.0,49.35545960267385,17.0,H3K27ac
606,mean,6.0,6.0,41.63333333333333,0.8018490607950197,0.7498732470098491,0.8174967982318149,1.5171554817511783,60.0,54.39456381003062,18.0,H3K27me1
638,mean,6.0,6.0,38.53333333333333,0.8075693569383506,0.76040124082932,0.8305194065625202,1.5171554817511783,60.0,100.04249555269877,19.0,H3K27me3
670,mean,6.0,6.0,38.833333333333336,0.8016102963725448,0.7552759555461904,0.8262031767200096,1.5171554817511783,60.0,43.96183925469716,20.0,H3K36me1
702,mean,6.0,6.0,41.56666666666667,0.8008809990814281,0.7477162503165812,0.8134760810665288,1.5171554817511785,60.0,66.3976165453593,21.0,H3K36me3
734,mean,6.0,6.0,41.333333333333336,0.8007903957092144,0.7475174672247912,0.8157381202040401,1.5171554817511785,60.0,74.46406979560852,22.0,H4K16ac
766,mean,6.0,6.0,43.233333333333334,0.805487374015069,0.7473838343885058,0.8165768910365155,1.5171554817511783,60.0,50.11794553597768,23.0,RNA-polymerase-II
798,mean,6.0,6.0,59.63333333333333,0.8213349536283218,0.7697257964449007,0.8169075738877903,1.5463341064165668,160.0,44.19343236287435,-1.0,all
