,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
6,std,0.0,0.0,1.8077610461562668,0.03807722949480939,0.007297484336640572,0.02535822453038731,0.03320622472095485,0.0,1.0585629227430844,0.0,chr2L
13,std,0.0,0.0,1.2280065146407002,0.03985272235785689,0.007738076283955267,0.026769564980032735,0.03320622472095485,0.0,0.35883314860673005,0.0,chr2L
20,std,0.0,0.0,0.8318653737234168,0.04055637883945225,0.006779502968818939,0.025029352644522787,0.03320622472095485,0.0,1.0096455563410511,0.0,chr2L
27,std,0.0,0.0,2.3520204080747256,0.039365880947845704,0.007150677091792804,0.02689378865645998,0.033206224720954865,0.0,5.219032175251114,0.0,chr2L
34,std,0.0,0.0,1.375499909123952,0.03746395311365733,0.007087114026200752,0.025307248683029495,0.03320622472095485,0.0,0.5720504292612946,0.0,chr2L
41,std,0.0,0.0,0.0,0.06106240919889087,0.013047325581437853,0.03068721689599378,0.03320622472095485,0.0,0.7062871049719657,0.0,chr2L
48,std,0.0,0.0,0.0,0.03378021516362553,0.010994454433446639,0.027756968974486085,0.03320622472095485,0.0,0.41439943431599363,0.0,chr2L
55,std,0.0,0.0,0.0,0.05607699509243525,0.008254693475177,0.041339502109799246,0.033206224720954865,0.0,1.525295091291935,0.0,chr2L
62,std,0.0,0.0,0.0,0.06761083119321003,0.007976513734093454,0.03212745294684037,0.03320622472095485,0.0,0.5281057632251317,0.0,chr2L
69,std,0.0,0.0,0.0,0.03743391877496545,0.011274953988751937,0.03896818578677524,0.033206224720954865,0.0,0.2589410945629884,0.0,chr2L
76,std,0.0,0.0,1.7922053453775881,0.038073262436975015,0.009525371785472173,0.024279784978864214,0.03320622472095485,0.0,0.4766257557309755,0.0,chr2L
83,std,0.0,0.0,0.0,0.06013821032897262,0.01631387846121443,0.03882140184750621,0.02789099527209512,0.0,0.29004932248414245,0.0,chr2L
