,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
31,std,0.0,0.0,17.25017259802226,0.06979559072841392,0.033747288865981724,0.07918884120947564,0.059691514108053276,0.0,19.850877351429492,0.0,chr2L
63,std,0.0,0.0,24.219703962384482,0.07573207327543242,0.04074955941580216,0.07196062173573409,0.05969151410805325,0.0,30.146161415060362,0.0,chr2L
95,std,0.0,0.0,16.15597806000464,0.07682429555003441,0.03296742337796682,0.07869623601924501,0.05969151410805321,0.0,21.721554706629753,0.0,chr2L
127,std,0.0,0.0,17.32785000212204,0.07637120001751485,0.03154285534282448,0.07457031042168634,0.05969151410805322,0.0,25.913904940176646,0.0,chr2L
159,std,0.0,0.0,16.1973972650213,0.07231986320904403,0.03198232496331735,0.07507501318887268,0.0596915141080533,0.0,22.352079676143042,0.0,chr2L
191,std,0.0,0.0,15.481728570809846,0.07139070032121467,0.033439581168398236,0.07326127260517316,0.059691514108053255,0.0,19.325572814631435,0.0,chr2L
223,std,0.0,0.0,15.561057798095142,0.08316464973457713,0.03359636933582743,0.07571767064414554,0.0596915141080532,0.0,21.780619993635977,0.0,chr2L
255,std,0.0,0.0,15.268591832638796,0.07428249175237021,0.025392274882379866,0.07331862016416593,0.059691514108053255,0.0,21.974306609797768,0.0,chr2L
287,std,0.0,0.0,14.758439324329338,0.07413974939869022,0.03205630637847068,0.07811373924025955,0.05969151410805329,0.0,21.079275185568267,0.0,chr2L
319,std,0.0,0.0,17.118464148831073,0.07268403652517505,0.029031932934279265,0.07012552272731563,0.0596915141080532,0.0,23.945122105680955,0.0,chr2L
351,std,0.0,0.0,12.061233138762645,0.07551357341763948,0.02553645440487383,0.07682961052962464,0.059691514108053186,0.0,16.96240066807317,0.0,chr2L
383,std,0.0,0.0,15.421621094758287,0.07122173299067912,0.034195122223024454,0.08833086051998951,0.05969151410805324,0.0,22.11723111342905,0.0,chr2L
415,std,0.0,0.0,16.349746581591035,0.07449412994440764,0.03304868301267854,0.06886927207812546,0.05969151410805327,0.0,26.100012805575613,0.0,chr2L
447,std,0.0,0.0,16.284735897273052,0.07288986588498148,0.028879842025343796,0.08052474831054995,0.05969151410805324,0.0,23.209953135321776,0.0,chr2L
479,std,0.0,0.0,13.466252411973736,0.08176977695155324,0.03138757789012132,0.07881534963348127,0.05969151410805319,0.0,23.06225740964821,0.0,chr2L
511,std,0.0,0.0,13.918701367764394,0.08317416018487694,0.019800237126466114,0.0984307393409605,0.06098023625405579,0.0,7.1482348921817405,0.0,chr2L
