,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
31,std,0.0,0.0,12.31824924117937,0.07576344883314964,0.03783304146459888,0.0801378649956246,0.03349709869321009,0.0,9.213135756626393,0.0,chr2L
63,std,0.0,0.0,9.699899869135988,0.07278620727189118,0.0335492907875053,0.08080996192673837,0.03349709869321008,0.0,7.50809914219027,0.0,chr2L
95,std,0.0,0.0,11.712875593190518,0.07292816344369743,0.028856637413688168,0.08710439740260305,0.033497098693210055,0.0,9.942679172641945,0.0,chr2L
127,std,0.0,0.0,11.764294096166518,0.06821443788852646,0.03488647228132616,0.0778090147220836,0.033497098693210096,0.0,9.966827875119012,0.0,chr2L
159,std,0.0,0.0,13.136146741464266,0.07136086513440093,0.041052484875514446,0.07490719708026615,0.03349709869321008,0.0,10.04458112868955,0.0,chr2L
191,std,0.0,0.0,11.822415501977794,0.06715233386059802,0.036882509569913145,0.0811116340722869,0.033497098693210076,0.0,9.75184590779252,0.0,chr2L
223,std,0.0,0.0,11.136076301925147,0.06254854068995343,0.03461486391691907,0.08531831072837134,0.033497098693210055,0.0,9.507142736211026,0.0,chr2L
255,std,0.0,0.0,14.834911018599247,0.06545537681167232,0.038218899712229096,0.08848701709529319,0.03349709869321007,0.0,12.650345809410979,0.0,chr2L
287,std,0.0,0.0,12.8437186917953,0.06449714700344479,0.03663329737705797,0.0913495704798558,0.03349709869321007,0.0,12.916465292447272,0.0,chr2L
319,std,0.0,0.0,15.474349929710343,0.07172122406202873,0.03848852200600822,0.07500435053334047,0.03349709869321011,0.0,14.5199821788616,0.0,chr2L
351,std,0.0,0.0,12.110136819751602,0.06814421833281667,0.03556520912547051,0.08462576771459056,0.033497098693210076,0.0,12.087735303322939,0.0,chr2L
383,std,0.0,0.0,11.76002037339353,0.06814492327949255,0.03340838110338943,0.07576725618443506,0.0334970986932101,0.0,11.418650745561548,0.0,chr2L
415,std,0.0,0.0,12.970917464554546,0.06693987135296657,0.0405605289833903,0.0837340288204164,0.03349709869321005,0.0,13.932128750276423,0.0,chr2L
447,std,0.0,0.0,13.576404151347116,0.07164485756997872,0.03601266981576806,0.08970671923724031,0.033497098693210076,0.0,14.401424946775649,0.0,chr2L
479,std,0.0,0.0,12.030182826980424,0.07227413308726705,0.030551669928750972,0.08661368072863274,0.0334970986932101,0.0,14.002282722168017,0.0,chr2L
511,std,0.0,0.0,15.677322739417663,0.07131354941152991,0.03861074797791704,0.07931086317599889,0.033497098693210096,0.0,18.679116796222043,0.0,chr2L
543,std,0.0,0.0,13.065886920592547,0.07207529466655924,0.0366997149635823,0.08342085261055464,0.033497098693210076,0.0,15.537822244295251,0.0,chr2L
575,std,0.0,0.0,9.511992564877163,0.06827683626232571,0.02995701122042999,0.07900181849313846,0.033497098693210076,0.0,10.653663529743204,0.0,chr2L
607,std,0.0,0.0,13.374031230954223,0.07441720341023894,0.03839224698290172,0.08630512939982314,0.03349709869321008,0.0,18.768886473130276,0.0,chr2L
639,std,0.0,0.0,10.198329815929801,0.0707534297150483,0.03172876728365146,0.08001540297872532,0.0334970986932101,0.0,305.2173965841439,0.0,chr2L
671,std,0.0,0.0,11.293433766239536,0.08454530439222556,0.035657676056715194,0.06768153588205071,0.033497098693210055,0.0,11.153279275515692,0.0,chr2L
703,std,0.0,0.0,15.525531273622322,0.07672917054965367,0.03892189829011135,0.08605311059003706,0.0334970986932101,0.0,136.47898117044195,0.0,chr2L
735,std,0.0,0.0,16.49529070920238,0.07298554013548864,0.038043890594251256,0.08574152820214541,0.033497098693210096,0.0,123.90851644022227,0.0,chr2L
767,std,0.0,0.0,13.016292178226696,0.062351621337196544,0.0345733633088778,0.08618292357064532,0.03349709869321005,0.0,10.846069882499675,0.0,chr2L
799,std,0.0,0.0,18.578984715327223,0.052108229932200836,0.04139878847997387,0.09471718092905602,0.04712712524118752,0.0,15.55495221578262,0.0,chr2L
