,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
50,mean,6.0,6.0,10.68,1.4921011693057542,1.473143128430593,1.4378903445558333,1.6346630907434354,60.0,12.206646447181702,0.0,chr2L
102,mean,6.0,6.0,10.36,1.493916057208579,1.4746441218873516,1.4365390691147057,1.6346630907434352,60.0,16.59194930076599,1.0,chr2R
154,mean,6.0,6.0,9.66,1.492907838191847,1.4738213254549364,1.4346367943971834,1.6346630907434352,60.0,18.696830110549925,2.0,chr3L
206,mean,6.0,6.0,10.1,1.49046433712948,1.4731572268240745,1.4334339388483903,1.6346630907434354,60.0,17.426251692771913,3.0,chr3R
258,mean,6.0,6.0,8.88,1.4878038579181572,1.4708581634981948,1.437493936153268,1.6346630907434354,60.0,16.14285123825073,4.0,chrX
310,mean,6.0,6.0,17.56,1.4967696390941165,1.4752749018854514,1.432611420662401,1.6346630907434354,60.0,23.275234565734863,5.0,start_coord
362,mean,6.0,6.0,42.0,0.9858474630933904,0.9673798214566127,0.9376568175783321,1.6346630907434354,60.0,45.34034852027893,6.0,Chriz
414,mean,6.0,6.0,37.34,1.2880056058043017,1.243450046601267,1.1518376280044555,1.6346630907434352,60.0,35.707836289405826,7.0,CTCF
466,mean,6.0,6.0,33.76,1.3526619187608298,1.326707810386329,1.2774617673562723,1.6346630907434354,60.0,38.16815177440643,8.0,Su(Hw)
518,mean,6.0,6.0,41.22,1.0045302181647668,0.9879437717128667,0.9602583713218025,1.6346630907434354,60.0,45.572388124465945,9.0,BEAF-32
570,mean,6.0,6.0,33.32,1.3848514876860238,1.366915778202368,1.3429346012120318,1.6346630907434354,60.0,36.40530151844025,10.0,CP190
622,mean,6.0,6.0,34.32,1.2228896153500124,1.202039299903214,1.1660854670045528,1.6346630907434354,60.0,40.00836751937866,11.0,GAF
674,mean,6.0,6.0,36.16,1.0725580667512526,1.041495649377041,0.9810970870742547,1.6346630907434354,60.0,54.929054045677184,12.0,H3K4me1
726,mean,6.0,6.0,43.42,0.9916087349436686,0.964136593956018,0.9118614941480077,1.6346630907434352,60.0,72.81832278251647,13.0,H3K4me2
778,mean,6.0,6.0,41.22,1.0192291383067515,0.9973652020903033,0.9616814764380845,1.6346630907434352,60.0,75.36165990829468,14.0,H3K4me3
830,mean,6.0,6.0,34.1,1.351204889612877,1.326821397734329,1.2860586800681213,1.6346630907434354,60.0,69.90781118869782,15.0,H3K9me2
882,mean,6.0,6.0,40.54,1.3620821216443872,1.341216831019666,1.3032396914482545,1.6346630907434352,60.0,76.44506104946136,16.0,H3K9me3
934,mean,6.0,6.0,44.52,1.0707456129622144,1.042357187180343,0.9868290285612964,1.6346630907434354,60.0,86.4704121685028,17.0,H3K27ac
986,mean,6.0,6.0,35.12,1.0586018333625327,1.0348708308469337,0.9867853483775639,1.6346630907434352,60.0,74.48860933303833,18.0,H3K27me1
1038,mean,6.0,6.0,45.46,1.1517314140196846,1.1256878522189473,1.0722890769006768,1.6346630907434354,60.0,91.50045201301575,19.0,H3K27me3
1090,mean,6.0,6.0,32.96,1.2303938216606245,1.2008535158054152,1.1501616550951437,1.6346630907434354,60.0,64.34179303646087,20.0,H3K36me1
1142,mean,6.0,6.0,37.08,1.0792170640657743,1.0608757240625248,1.0283538888429762,1.6346630907434352,60.0,53.98183425426483,21.0,H3K36me3
1194,mean,6.0,6.0,43.86,1.0496713413429535,1.0324416086084232,1.004555935347263,1.6346630907434354,60.0,68.56238873958587,22.0,H4K16ac
1246,mean,6.0,6.0,39.98,1.0630566744610546,1.0433609500676975,1.0052691775364424,1.6346630907434354,60.0,49.65138957500458,23.0,RNA-polymerase-II
1298,mean,6.0,6.0,58.4,0.8786612778828338,0.8206784684717013,0.8609998224476212,1.6164275487248656,160.0,28.183282475471497,-1.0,all
