,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
30,mean,6.0,6.0,44.333333333333336,0.8993673747796013,0.849559860282511,0.8434432241360048,1.634663090743436,60.0,49.84839813709259,0.0,chr2L
62,mean,6.0,6.0,46.96666666666667,0.8997621992251333,0.8466372522695227,0.833603037718705,1.6346630907434354,60.0,73.73903466065725,1.0,chr2R
94,mean,6.0,6.0,40.93333333333333,0.9021724342439814,0.8529464787020063,0.839402519258124,1.6346630907434359,60.0,67.04255179564159,2.0,chr3L
126,mean,6.0,6.0,44.13333333333333,0.8951674697728483,0.8464115102627346,0.8380650302772921,1.634663090743436,60.0,76.1515665213267,3.0,chr3R
158,mean,6.0,6.0,41.4,0.8963393138191564,0.8506066166749969,0.8406246654167636,1.634663090743436,60.0,76.15142425696055,4.0,chrX
190,mean,6.0,6.0,44.3,0.8938359099495419,0.8420965958666028,0.8330196235536061,1.634663090743436,60.0,78.70773408412933,5.0,H3K4me2
222,mean,6.0,6.0,42.833333333333336,0.9113830047035574,0.8623768763478121,0.8491927395494335,1.6346630907434359,60.0,78.1287087837855,6.0,ISWI
254,mean,6.0,6.0,43.7,0.9091710574740549,0.8591966081319201,0.8449985435031162,1.634663090743436,60.0,79.37488444646199,7.0,Chriz
286,mean,6.0,6.0,43.36666666666667,0.8946674767909445,0.8416522217590063,0.8382092512131287,1.6346630907434363,60.0,78.44877831935882,8.0,WDS
318,mean,6.0,6.0,46.233333333333334,0.8892318354779765,0.8395004202442128,0.8311955689750928,1.6346630907434354,60.0,84.09224741458893,9.0,MRG15
350,mean,6.0,6.0,42.3,0.8941880747196209,0.8499461621613084,0.8391049762751328,1.6346630907434359,60.0,82.58696720600128,10.0,H3K79me3
382,mean,6.0,6.0,39.96666666666667,0.9048553256619768,0.8568329929113198,0.8471626614033266,1.6346630907434363,60.0,81.05257140000661,11.0,RNA-polymerase-II
414,mean,6.0,6.0,41.96666666666667,0.8998440090017409,0.8511344731888332,0.837394516538594,1.6346630907434359,60.0,85.90139382680258,12.0,H1
446,mean,6.0,6.0,43.46666666666667,0.8976563264187137,0.8507429606775028,0.8350679772125471,1.634663090743436,60.0,81.28813571135203,13.0,H3K27me3
478,mean,6.0,6.0,39.8,0.9023636473248974,0.8522916458778279,0.8417676859146547,1.6346630907434359,60.0,65.77829894224803,14.0,start_coord
510,mean,6.0,6.0,64.46666666666667,0.9035258477197099,0.8588505194749616,0.8564550347630212,1.6373134137971574,160.0,36.5221093972524,-1.0,all
